test
"UPARK00101",1468,714,1,"Faulkner","PARK","Parking spot 1","P1","Team U"
"UPARK00201",1484,714,1,"Faulkner","PARK","Parking spot 2","P2","Team U"
"UPARK00301",1503,714,1,"Faulkner","PARK","Parking spot 3","P3","Team U"
"UPARK00401",1468,749,1,"Faulkner","PARK","Parking spot 4","P4","Team U"
"UPARK00501",1484,749,1,"Faulkner","PARK","Parking spot 5","P5","Team U"
"UPARK00601",1503,749,1,"Faulkner","PARK","Parking spot 6","P6","Team U"
"UPARK00701",1566,714,1,"Faulkner","PARK","Parking spot 7","P7","Team U"
"UPARK00801",1566,732,1,"Faulkner","PARK","Parking spot 8","P8","Team U"
"UPARK00901",1566,753,1,"Faulkner","PARK","Parking spot 9","P9","Team U"
"UPARK01001",1595,714,1,"Faulkner","PARK","Parking spot 10","P10","Team U"
"UPARK01101",1595,732,1,"Faulkner","PARK","Parking spot 11","P11","Team U"
"UPARK01201",1595,753,1,"Faulkner","PARK","Parking spot 12","P12","Team U"
"UPARK01301",472,960,1,"Faulkner","PARK","Parking spot 13","P13","Team U"
"UPARK01401",472,976,1,"Faulkner","PARK","Parking spot 14","P14","Team U"
"UPARK01501",472,994,1,"Faulkner","PARK","Parking spot 15","P15","Team U"
"UPARK01601",498,960,1,"Faulkner","PARK","Parking spot 16","P16","Team U"
"UPARK01701",498,976,1,"Faulkner","PARK","Parking spot 17","P17","Team U"
"UPARK01801",498,994,1,"Faulkner","PARK","Parking spot 18","P18","Team U"
"UPARK01901",469,1059,1,"Faulkner","PARK","Parking spot 19","P19","Team U"
"UPARK02001",488,1059,1,"Faulkner","PARK","Parking spot 20","P20","Team U"
"UPARK02101",504,1059,1,"Faulkner","PARK","Parking spot 21","P21","Team U"
"UPARK02201",469,1085,1,"Faulkner","PARK","Parking spot 22","P22","Team U"
"UPARK02301",488,1085,1,"Faulkner","PARK","Parking spot 23","P23","Team U"
"UPARK02401",504,1085,1,"Faulkner","PARK","Parking spot 24","P24","Team U"
"UPARK02501",469,1156,1,"Faulkner","PARK","Parking spot 25","P25","Team U"
"UPARK02601",488,1156,1,"Faulkner","PARK","Parking spot 26","P26","Team U"
"UPARK02701",504,1156,1,"Faulkner","PARK","Parking spot 27","P27","Team U"
"UPARK02801",469,1175,1,"Faulkner","PARK","Parking spot 28","P28","Team U"
"UPARK02901",488,1175,1,"Faulkner","PARK","Parking spot 29","P29","Team U"
"UPARK03001",504,1175,1,"Faulkner","PARK","Parking spot 30","P30","Team U"
"UWALK00101",1468,694,1,"Faulkner","WALK","Walkway 1","W1","Team U"
"UWALK00201",1488,694,1,"Faulkner","WALK","Walkway 2","W2","Team U"
"UWALK00301",1504,694,1,"Faulkner","WALK","Walkway 3","W3","Team U"
"UWALK00401",1535,694,1,"Faulkner","WALK","Walkway 4","W4","Team U"
"UWALK00501",1535,714,1,"Faulkner","WALK","Walkway 5","W5","Team U"
"UWALK00601",1535,732,1,"Faulkner","WALK","Walkway 6","W6","Team U"
"UWALK00701",1535,749,1,"Faulkner","WALK","Walkway 7","W7","Team U"
"UEXIT00101",1588,947,1,"Faulkner","EXIT","Entrance/Exit 1","E1","Team U"
"UWALK00901",1619,715,1,"Faulkner","WALK","Walkway 8","W8","Team U"
"UWALK01001",1619,733,1,"Faulkner","WALK","Walkway 9","W9","Team U"
"UWALK01101",1619,751,1,"Faulkner","WALK","Walkway 10","W10","Team U"
"UWALK01201",1468,770,1,"Faulkner","WALK","Walkway 11","W11","Team U"
"UWALK01301",1485,770,1,"Faulkner","WALK","Walkway 12","W12","Team U"
"UWALK01401",1501,770,1,"Faulkner","WALK","Walkway 13","W13","Team U"
"UWALK01501",1432,951,1,"Faulkner","WALK","Walkway 14","W14","Team U"
"UWALK01601",1314,1029,1,"Faulkner","WALK","Walkway 15","W15","Team U"
"UWALK01701",1208,998,1,"Faulkner","WALK","Walkway 16","W16","Team U"
"UWALK01801",1072,994,1,"Faulkner","WALK","Walkway 17","W17","Team U"
"UWALK01901",1004,955,1,"Faulkner","WALK","Walkway 18","W18","Team U"
"UWALK02001",747,999,1,"Faulkner","WALK","Walkway 19","W19","Team U"
"UWALK02101",529,956,1,"Faulkner","WALK","Walkway 20","W20","Team U"
